STOCK_EXCHANGE,STOCK_SYMBOL,INTERVEL ,NO OF  DAYS,STOCK NAME
NSE,PPAP,86400,4000,PPAP Automotive Limited
NSE,PATINTLOG,86400,4000,Patel Integrated Logistics Limited
NSE,ARIES,86400,4000,Aries Agro Limited
NSE,DPL,86400,4000,Dhunseri Petrochem Limited
NSE,MANAKSIA,86400,4000,Manaksia Limited
NSE,BGRENERGY,86400,4000,BGR Energy Systems Limited
NSE,BURNPUR,86400,4000,Burnpur Cement Limited
NSE,BRIGADE,86400,4000,Brigade Enterprises Limited
NSE,ECLERX,86400,4000,eClerx Services Limited
NSE,TRIL,86400,4000,Transformers And Rectifiers (India) Limited
NSE,KALYANIFRG,86400,4000,Kalyani Forge Limited
NSE,MADHAV,86400,4000,Madhav Marbles and Granites Limited
NSE,HITECHPLAS,86400,4000,Hitech Plast Limited
NSE,JYOTHYLAB,86400,4000,Jyothy Laboratories Limited
NSE,COLPAL,86400,4000,Colgate Palmolive (India) Limited
NSE,KAUSHALYA,86400,4000,Kaushalya Infrastructure Development Corporation Limited
NSE,KOLTEPATIL,86400,4000,Kolte - Patil Developers Limited
NSE,RJL,86400,4000,Renaissance Jewellery Limited
NSE,EDELWEISS,86400,4000,Edelweiss Financial Services Limited
NSE,NOESISIND,86400,4000,Noesis Industries Limited
NSE,ADANIPORTS,86400,4000,Adani Ports and Special Economic Zone Limited
NSE,JMCPROJECT,86400,4000,JMC Projects (India)  Limited
NSE,ALKYLAMINE,86400,4000,Alkyl Amines Chemicals Limited
NSE,RMCL,86400,4000,Radha Madhav Corporation Limited
NSE,EDL,86400,4000,Empee Distilleries Limited
NSE,BVCL,86400,4000,Barak Valley Cements Limited
NSE,RELIGARE,86400,4000,Religare Enterprises Limited
NSE,SABTN,86400,4000,Sri Adhikari Brothers Television Network Limited
NSE,ENERGYDEV,86400,4000,Energy Development Company Limited
NSE,DELTACORP,86400,4000,Delta Corp Limited
NSE,CERA,86400,4000,Cera Sanitaryware Limited
NSE,BAJAJELEC,86400,4000,Bajaj Electricals Limited
NSE,IL&FSENGG,86400,4000,IL&FS Engineering and Construction Company Limited
NSE,MAANALU,86400,4000,Maan Aluminium Limited
NSE,MANGCHEFER,86400,4000,Mangalore Chemicals & Fertilizers Limited
NSE,SUPREMEINF,86400,4000,Supreme Infrastructure India Limited
NSE,CCCL,86400,4000,Consolidated Construction Consortium Limited
NSE,POWERGRID,86400,4000,Power Grid Corporation of India Limited
NSE,CENTUM,86400,4000,Centum Electronics Limited
NSE,KSCL,86400,4000,Kaveri Seed Company Limited
NSE,ECEIND,86400,4000,ECE Industries Limited
NSE,PARRYSUGAR,86400,4000,Parrys Sugar Industries Limited
NSE,MAGNUM,86400,4000,Magnum Ventures Limited
NSE,NAGREEKCAP,86400,4000,Nagreeka Capital & Infrastructure Limited
NSE,INDOWIND,86400,4000,Indowind Energy Limited
NSE,MOTILALOFS,86400,4000,Motilal Oswal Financial Services Limited
NSE,PURVA,86400,4000,Puravankara Limited
NSE,MAHINDCIE,86400,4000,Mahindra CIE Automotive Limited
NSE,ISMTLTD,86400,4000,ISMT Limited
NSE,KPRMILL,86400,4000,K.P.R. Mill Limited
NSE,SRIPIPES,86400,4000,Srikalahasthi Pipes Limited
NSE,TAKE,86400,4000,Take Solutions Limited
NSE,ASIANTILES,86400,4000,Asian Granito India Limited
NSE,SELMCL,86400,4000,SEL Manufacturing Company Limited
NSE,VICEROY,86400,4000,Viceroy Hotels Limited
NSE,CENTRALBK,86400,4000,Central Bank of India
NSE,ELECTHERM,86400,4000,Electrotherm (India) Limited
NSE,ZYLOG,86400,4000,Zylog Systems Limited
NSE,OMAXE,86400,4000,Omaxe Limited
NSE,ALPA,86400,4000,Alpa Laboratories Limited
NSE,VIPCLOTHNG,86400,4000,VIP Clothing Limited
NSE,SIMPLEX,86400,4000,Simplex Projects Limited
NSE,DECCANCE,86400,4000,Deccan Cements Limited
NSE,WSI,86400,4000,W S Industries (I) Limited
NSE,ALCHEM,86400,4000,Alchemist Limited
NSE,ADSL,86400,4000,Allied Digital Services Limited
NSE,HDIL,86400,4000,Housing Development and Infrastructure Limited
NSE,MEGASOFT,86400,4000,Megasoft Limited
NSE,SPARC,86400,4000,Sun Pharma Advanced Research Company Limited
NSE,CELESTIAL,86400,4000,Celestial Biolabs Limited
NSE,TARMAT,86400,4000,Tarmat Limited
NSE,RAMSARUP,86400,4000,Ramsarup Industries Limited
NSE,DLF,86400,4000,DLF Limited
NSE,V2RETAIL,86400,4000,V2 Retail Limited
NSE,MEGH,86400,4000,Meghmani Organics Limited
NSE,NELCAST,86400,4000,Nelcast Limited
NSE,ADVANIHOTR,86400,4000,Advani Hotels & Resorts (India) Limited
NSE,HGS,86400,4000,Hinduja Global Solutions Limited
NSE,NAGREEKEXP,86400,4000,Nagreeka Exports Limited
NSE,TIMETECHNO,86400,4000,Time Technoplast Limited
NSE,NITINFIRE,86400,4000,Nitin Fire Protection Industries Limited
NSE,GOACARBON,86400,4000,Goa Carbon Limited
NSE,GUJAPOLLO,86400,4000,Gujarat Apollo Industries Limited
NSE,NAVINFLUOR,86400,4000,Navin Fluorine International Limited
NSE,KMSUGAR,86400,4000,K.M.Sugar Mills Limited
NSE,MIC,86400,4000,MIC Electronics Limited
NSE,INSECTICID,86400,4000,Insecticides (India) Limited
NSE,MCDHOLDING,86400,4000,McDowell Holdings Limited
NSE,HILTON,86400,4000,Hilton Metal Forging Limited
NSE,SGFL,86400,4000,Shree Ganesh Forgings Limited
NSE,TGBHOTELS,86400,4000,TGB Banquets And Hotels Limited
NSE,WEBELSOLAR,86400,4000,Websol Energy System Limited
NSE,ALPHAGEO,86400,4000,Alphageo (India) Limited
NSE,FORTIS,86400,4000,Fortis Healthcare Limited
NSE,SRHHYPOLTD,86400,4000,Sree Rayalaseema Hi-Strength Hypo Limited
NSE,BFUTILITIE,86400,4000,BF Utilities Limited
NSE,KGL,86400,4000,Karuturi Global Limited
NSE,GLOBOFFS,86400,4000,Global Offshore Services Limited
NSE,ZENITHBIR,86400,4000,Zenith Birla (India) Limited
NSE,AROGRANITE,86400,4000,Aro Granite Industries Limited
NSE,HINDUJAVEN,86400,4000,Hinduja Ventures Limited
NSE,PHOENIXLTD,86400,4000,The Phoenix Mills Limited
NSE,DISHTV,86400,4000,Dish TV India Limited
NSE,ICRA,86400,4000,ICRA Limited
NSE,ORBITCORP,86400,4000,Orbit Corporation Limited
NSE,BANSWRAS,86400,4000,Banswara Syntex Limited
NSE,BALAMINES,86400,4000,Balaji Amines Limited
NSE,NCLIND,86400,4000,NCL Industries Limited
NSE,GARWALLROP,86400,4000,Garware  Wall Ropes Limited
NSE,THEMISMED,86400,4000,Themis Medicare Limited
NSE,JMTAUTOLTD,86400,4000,JMT Auto Limited
NSE,IBREALEST,86400,4000,Indiabulls Real Estate Limited
NSE,NAHARSPING,86400,4000,Nahar Spinning Mills Limited
NSE,NAHARPOLY,86400,4000,Nahar Poly Films Limited
NSE,ASTRAL,86400,4000,Astral Poly Technik Limited
NSE,AMDIND,86400,4000,AMD Industries Limited
NSE,JKTYRE,86400,4000,JK Tyre & Industries Limited
NSE,LAOPALA,86400,4000,La Opala RG Limited
NSE,PAGEIND,86400,4000,Page Industries Limited
NSE,RAJTV,86400,4000,Raj Television Network Limited
NSE,SUPREMETEX,86400,4000,Supreme Tex Mart Limited
NSE,ELAND,86400,4000,E-Land Apparel Limited
NSE,IDEA,86400,4000,Idea Cellular Limited
NSE,EUROCERA,86400,4000,Euro Ceramics Limited
NSE,PUNJABCHEM,86400,4000,Punjab Chemicals & Crop Protection Limited
NSE,UNIPLY,86400,4000,Uniply Industries Limited
NSE,ORIENTALTL,86400,4000,Oriental Trimex Limited
NSE,MINDTREE,86400,4000,MindTree Limited
NSE,HSCL,86400,4000,Himadri Speciality Chemical Limited
NSE,GANESHHOUC,86400,4000,Ganesh Housing Corporation Limited
NSE,INDIANB,86400,4000,Indian Bank
NSE,SMSPHARMA,86400,4000,SMS Pharmaceuticals Limited
NSE,CANDC,86400,4000,C & C Constructions Limited
NSE,TFL,86400,4000,Transwarranty Finance Limited
NSE,PFC,86400,4000,Power Finance Corporation Limited
NSE,FSL,86400,4000,Firstsource Solutions Limited
NSE,TTL,86400,4000,T T Limited
NSE,REDINGTON,86400,4000,Redington (India) Limited
NSE,PGIL,86400,4000,Pearl Global Industries Limited
NSE,ORIENTBELL,86400,4000,Orient Bell Limited
NSE,AICHAMP,86400,4000,AI Champdany Industries Limited
NSE,TVSSRICHAK,86400,4000,TVS Srichakra Limited
NSE,ANGIND,86400,4000,ANG Industries Limited
NSE,TIIL,86400,4000,Technocraft Industries (India) Limited
NSE,POCHIRAJU,86400,4000,Pochiraju Industries Limited
NSE,TV18BRDCST,86400,4000,TV18 Broadcast Limited
NSE,HUBTOWN,86400,4000,Hubtown Limited
NSE,CTE,86400,4000,Cambridge Technology Enterprises Limited
